State,Region,Pop,Murders
AL,South,4779736,135
AK,West,710231,19
AZ,West,6392017,232
AR,South,2915918,93
CA,West,37253956,1257
CO,West,5029196,65
CT,Northeast,3574097,97
DE,South,897934,38
DC,South,601723,99
FL,South,19687653,669
GA,South,9920000,376
HI,West,1360301,7
ID,West,1567582,12
IL,North Central,12830632,364
IN,North Central,6483802,142
IA,North Central,3046355,21
KS,North Central,2853118,63
KY,South,4339367,116
LA,South,4533372,351
ME,Northeast,1328361,11
MD,South,5773552,293
MA,Northeast,6547629,118
MI,North Central,9883640,413
MN,North Central,5303925,53
MS,South,2967297,120
MO,North Central,5988927,321
MT,West,989415,12
NE,North Central,1826341,32
NV,West,2700551,84
NH,Northeast,1316470,5
NJ,Northeast,8791894,246
NM,West,2059179,67
NY,Northeast,19378102,517
NC,South,9535483,286
ND,North Central,672591,4
OH,North Central,11536504,310
OK,South,3751351,111
OR,West,3831074,36
PA,Northeast,12702379,457
RI,Northeast,1052567,16
SC,South,4625364,207
SD,North Central,814180,8
TN,South,6346105,219
TX,South,25145561,805
UT,West,2763885,22
VT,Northeast,625741,2
VA,South,8001024,250
WA,West,6724540,93
WV,South,1852994,27
WI,North Central,5686986,97
WY,West,563626,5
